antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
AWS,Angular,0.29538641329200754,0.06524058736852802,0.022712260555866063,0.07688999741979874,1.1785607782079899,1.0,0.0034410774520127196,1.0126197419795142,0.21502208703416684,0.06721299150439816,0.01246246883834642,0.21251041927064704
Angular,AWS,0.06524058736852802,0.29538641329200754,0.022712260555866063,0.34813084112149534,1.1785607782079899,1.0,0.0034410774520127196,1.0809125989642323,0.16208179550721902,0.06721299150439816,0.07485582001890387,0.21251041927064704
AWS,Azure,0.29538641329200754,0.1527869518825263,0.12130989279000051,0.4106820331985895,2.6879391737217952,1.0,0.07617870307560252,1.437616186582292,0.8912229109268063,0.3711332193377894,0.30440404794179204,0.6023313724356765
Azure,AWS,0.1527869518825263,0.29538641329200754,0.12130989279000051,0.7939807116727635,2.6879391737217952,1.0,0.07617870307560252,3.4201340681693835,0.741215888045909,0.3711332193377894,0.7076138010767375,0.6023313724356765
AWS,Docker,0.29538641329200754,0.15558152532899752,0.09864844266043392,0.3339640491958372,2.146553380869782,1.0,0.05269177391900172,1.267827170067116,0.7580564948207207,0.27999711566195556,0.21124895915658415,0.48401337665539734
Docker,AWS,0.15558152532899752,0.29538641329200754,0.09864844266043392,0.6340627041149575,2.146553380869782,1.0,0.05269177391900172,1.9255036166888644,0.6325499995141912,0.27999711566195556,0.4806553509779324,0.48401337665539734
GCP,AWS,0.07880697119048828,0.29538641329200754,0.0688735328489406,0.8739522888459059,2.958674636067132,1.0,0.04559502428657569,5.590054593269037,0.7186450657705333,0.22557829921783987,0.8211108705084748,0.5535582378262384
AWS,GCP,0.29538641329200754,0.07880697119048828,0.0688735328489406,0.2331641868065709,2.958674636067132,1.0,0.04559502428657569,1.201291088601188,0.9395374106666501,0.22557829921783987,0.1675622923629411,0.5535582378262384
AWS,Git,0.29538641329200754,0.13612113205629794,0.04796504242670596,0.16238066569192397,1.192912983009614,1.0,0.007756709455348398,1.0313501999775567,0.22951003443608237,0.12505795853480825,0.030397240411878357,0.25737547655630166
Git,AWS,0.13612113205629794,0.29538641329200754,0.04796504242670596,0.3523702874206794,1.192912983009614,1.0,0.007756709455348398,1.087988356651707,0.18719741221870204,0.12505795853480825,0.08087251680017238,0.25737547655630166
AWS,Go,0.29538641329200754,0.026980336365022103,0.013159900411564453,0.04455147501505117,1.6512572123751827,1.0,0.005190275623288653,1.0183904608051029,0.5597405951110654,0.04256018404403911,0.018058359256982872,0.2661552102005576
Go,AWS,0.026980336365022103,0.29538641329200754,0.013159900411564453,0.487758945386064,1.6512572123751827,1.0,0.005190275623288653,1.375550788757147,0.4053369557547102,0.04256018404403911,0.2730184823611412,0.2661552102005576
AWS,Java,0.29538641329200754,0.3232813373304202,0.1286011889639754,0.43536595854476645,1.3467092228085735,1.0,0.033108274245698996,1.19850843729767,0.36537644582692896,0.26241575946086054,0.16562957015576443,0.416582782808729
Java,AWS,0.3232813373304202,0.29538641329200754,0.1286011889639754,0.3977996070726916,1.3467092228085735,1.0,0.033108274245698996,1.1700649733601989,0.38043757649171733,0.26241575946086054,0.14534660658356896,0.416582782808729
AWS,JavaScript,0.29538641329200754,0.21254001321071084,0.07164270108226208,0.24253891803560673,1.1411447396267693,1.0,0.008861268898914296,1.039604549381068,0.17553872964365094,0.16421126186455481,0.03809578305967067,0.2898087848605
JavaScript,AWS,0.21254001321071084,0.29538641329200754,0.07164270108226208,0.33707865168539325,1.1411447396267693,1.0,0.008861268898914296,1.0628916816442597,0.15707080483503222,0.16421126186455481,0.059170358306848685,0.2898087848605
AWS,Kubernetes,0.29538641329200754,0.16340633097911691,0.10149382653320461,0.3435968005504429,2.102714126751638,1.0,0.05322581651607661,1.2745118697203623,0.7442720202127545,0.2840585893060295,0.21538588713229678,0.48235499231502244
Kubernetes,AWS,0.16340633097911691,0.29538641329200754,0.10149382653320461,0.621113184079602,2.102714126751638,1.0,0.05322581651607661,1.8596941279055428,0.6268564980443592,0.2840585893060295,0.462277164295702,0.48235499231502244
AWS,Node.js,0.29538641329200754,0.07395457547888827,0.04064834103958132,0.1376107336372237,1.8607467184570248,1.0,0.018803164242339465,1.0738137180519562,0.6565035830178475,0.1236667181944659,0.06873977935937009,0.3436250164235586
Node.js,AWS,0.07395457547888827,0.29538641329200754,0.04064834103958132,0.5496392992098935,1.8607467184570248,1.0,0.018803164242339465,1.5645538908519956,0.49952338413212255,0.1236667181944659,0.3608401692987138,0.3436250164235586
AWS,Python,0.29538641329200754,0.5351100045729383,0.16711549209897872,0.565752128666036,1.0572632240683906,1.0,0.009051267131508722,1.0705636713865014,0.07686730541622744,0.2519148284313726,0.06591263394461495,0.4390266601645709
Python,AWS,0.5351100045729383,0.29538641329200754,0.16711549209897872,0.31230119166310594,1.0572632240683904,1.0,0.009051267131508722,1.0245962013690333,0.11650443825996326,0.2519148284313726,0.024005751081419686,0.4390266601645709
